Quick find:

step1: 0 1 2 3 4 5 6 7 8 9 (Initial)

step2: 0 1 2 3 4 5 6 7 8 0 (9-0)

step3: 0 1 2 4 4 5 6 7 8 0 (3-4)

step4: 0 1 2 4 4 8 6 7 8 0 (5-8)

step5: 0 1 2 4 4 8 6 2 8 0 (7-2)

step6: 0 1 1 4 4 8 6 1 8 0 (2-1)

step7: 0 1 1 4 4 1 6 1 8 0 (5-7)

step8: 4 1 1 4 4 1 6 1 8 0 (0-3)

step9: 1 1 1 1 1 1 6 1 8 0 (4-2)



Quick union:

step1: 0 1 2 3 4 5 6 7 8 9 (Initial)

step2: 0 1 2 3 4 5 6 7 8 0 (9-0)

step3: 0 1 2 4 4 5 6 7 8 0 (3-4)

step4: 0 1 2 4 4 8 6 7 8 0 (5-8)

step5: 0 1 7 4 4 8 6 7 8 0 (7-2)

step6: 0 1 1 4 4 8 6 7 8 0 (2-1)

step7: 0 1 1 4 4 8 6 7 1 0 (5-7)

step8: 4 1 1 4 4 8 6 7 1 0 (0-3)

step9: 4 1 1 4 1 8 6 7 1 0 (4-2)



weighted quick-union:

step1: 0 1 2 3 4 5 6 7 8 9 (Initial)

step2: 0 1 2 3 4 5 6 7 8 0 (9-0)

step3: 0 1 2 4 4 5 6 7 8 0 (3-4)

step4: 0 1 2 4 4 8 6 7 8 0 (5-8)

step5: 0 1 2 4 4 8 6 2 8 0 (7-2)

step6: 0 1 1 4 4 8 6 2 8 0 (2-1)

step7: 0 1 1 4 4 8 6 2 1 0 (5-7)

step8: 4 1 1 4 4 8 6 2 1 4 (0-3)

step9: 4 1 1 1 1 8 6 2 1 4 (4-2)
